Shape,Part,X,Y,NAME
106,1,83°06′29″ W,33°07′07″ N,BALDWIN
106,1,83°06′47″ W,33°06′46″ N,BALDWIN
106,1,83°07′07″ W,33°05′13″ N,BALDWIN
106,1,83°07′08″ W,33°04′59″ N,BALDWIN
106,1,83°07′06″ W,33°04′49″ N,BALDWIN
106,1,83°06′33″ W,33°04′20″ N,BALDWIN
106,1,83°06′22″ W,33°03′26″ N,BALDWIN
106,1,83°06′21″ W,33°03′24″ N,BALDWIN
106,1,83°06′10″ W,33°03′07″ N,BALDWIN
106,1,83°06′02″ W,33°03′00″ N,BALDWIN
106,1,83°05′04″ W,33°03′49″ N,BALDWIN
106,1,83°04′25″ W,33°03′50″ N,BALDWIN
106,1,83°04′22″ W,33°03′52″ N,BALDWIN
106,1,83°03′15″ W,33°04′48″ N,BALDWIN
106,1,83°03′11″ W,33°04′50″ N,BALDWIN
106,1,83°03′08″ W,33°04′51″ N,BALDWIN
106,1,83°02′58″ W,33°04′39″ N,BALDWIN
106,1,83°02′55″ W,33°04′34″ N,BALDWIN
106,1,83°02′45″ W,33°04′15″ N,BALDWIN
106,1,83°02′40″ W,33°04′01″ N,BALDWIN
106,1,83°02′39″ W,33°03′52″ N,BALDWIN
106,1,83°02′42″ W,33°03′36″ N,BALDWIN
106,1,83°03′18″ W,33°02′14″ N,BALDWIN
106,1,83°03′19″ W,33°02′13″ N,BALDWIN
106,1,83°04′03″ W,33°01′40″ N,BALDWIN
106,1,83°04′04″ W,33°01′35″ N,BALDWIN
106,1,83°04′04″ W,33°01′30″ N,BALDWIN
106,1,83°03′05″ W,33°00′13″ N,BALDWIN
106,1,83°02′56″ W,32°59′11″ N,BALDWIN
106,1,83°02′57″ W,32°59′09″ N,BALDWIN
106,1,83°03′28″ W,32°58′28″ N,BALDWIN
106,1,83°04′05″ W,32°58′28″ N,BALDWIN
106,1,83°04′06″ W,32°58′27″ N,BALDWIN
106,1,83°04′13″ W,32°56′51″ N,BALDWIN
106,1,83°04′15″ W,32°56′49″ N,BALDWIN
106,1,83°04′25″ W,32°56′48″ N,BALDWIN
106,1,83°04′41″ W,32°56′46″ N,BALDWIN
106,1,83°05′16″ W,32°57′04″ N,BALDWIN
106,1,83°05′45″ W,32°57′36″ N,BALDWIN
106,1,83°05′41″ W,32°58′06″ N,BALDWIN
106,1,83°06′30″ W,32°58′09″ N,BALDWIN
106,1,83°06′55″ W,32°58′25″ N,BALDWIN
106,1,83°07′31″ W,32°59′00″ N,BALDWIN
106,1,83°07′42″ W,32°59′24″ N,BALDWIN
106,1,83°07′21″ W,33°00′03″ N,BALDWIN
106,1,83°07′22″ W,33°00′05″ N,BALDWIN
106,1,83°07′23″ W,33°00′06″ N,BALDWIN
106,1,83°07′56″ W,33°00′25″ N,BALDWIN
106,1,83°07′59″ W,33°00′26″ N,BALDWIN
106,1,83°08′43″ W,33°00′32″ N,BALDWIN
106,1,83°08′48″ W,33°00′32″ N,BALDWIN
106,1,83°08′51″ W,33°00′31″ N,BALDWIN
106,1,83°08′54″ W,33°00′30″ N,BALDWIN
106,1,83°08′56″ W,33°00′29″ N,BALDWIN
106,1,83°09′01″ W,32°59′49″ N,BALDWIN
106,1,83°09′04″ W,32°59′48″ N,BALDWIN
106,1,83°09′35″ W,33°00′10″ N,BALDWIN
106,1,83°10′46″ W,32°59′15″ N,BALDWIN
106,1,83°09′44″ W,32°58′10″ N,BALDWIN
106,1,83°09′51″ W,32°58′08″ N,BALDWIN
106,1,83°11′19″ W,32°58′30″ N,BALDWIN
106,1,83°12′23″ W,32°59′01″ N,BALDWIN
106,1,83°16′07″ W,32°57′31″ N,BALDWIN
106,1,83°15′47″ W,32°57′15″ N,BALDWIN
106,1,83°16′34″ W,32°56′31″ N,BALDWIN
106,1,83°17′16″ W,32°57′07″ N,BALDWIN
106,1,83°20′53″ W,32°55′47″ N,BALDWIN
106,1,83°20′53″ W,32°55′47″ N,BALDWIN
106,1,83°21′28″ W,32°55′34″ N,BALDWIN
106,1,83°23′53″ W,33°03′16″ N,BALDWIN
