Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Coleman, William C.",Coleman, William C.,15-Apr-44,2nd Lt,TE-44-D,TAAF,Twin engine,Detroit,MI,,
"Coleman, William J.",Coleman, William J.,11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Columbus,GA,,
"Collins, Gamaliel M.",Collins, Gamaliel M.,16-Oct-44,Flight Officer,TE-44-I-1,TAAF,Twin engine,Los Angeles,CA,,
"Collins, Russell L.",Collins, Russell L.,4-Aug-45,Flight Officer,SE-45-E,TAAF,Single engine,Davenport,IA,,
"Connell, Victor L.",Connell, Victor L.,27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Nutley,NJ,,
"Conquest, George D.",Conquest, George D.,7-Dec-43,2nd Lt,CL-43-3,TAAF,Liaison pilot,New Haven,CT,,
"Cook, Martin L.",Cook, Martin L.,15-Apr-44,Flight Officer,TE-44-D,TAAF,Twin engine,Purcellville,VA,,
"Cooper, Charles W.",Cooper, Charles W.,8-Sep-44,Flight Officer,SE-44-H,TAAF,Single engine,Washington,DC,,
"Cooper, Edward M.",Cooper, Edward M.,8-Sep-45,2nd Lt,TE-45-F,TAAF,Twin engine,Sharon,LA,,
"Corbin, Matthew J.",Corbin, Matthew J.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Pittsburg,PA,,
"Cousins, August, Jr.",Cousins," August, Jr.",15-Apr-44,2nd Lt,TE-44-D,TAAF,Twin engine,Toledo,OH,,
"Cousins, William M.",Cousins, William M.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Philadelphia,PA,,
"Cowan, Edwin T.",Cowan, Edwin T.,28-Dec-44,Flight Officer,TE-44-J,TAAF,Twin engine,Cleveland,OH,,
"Cox, Hannibal M.",Cox, Hannibal M.,15-Apr-44,2nd Lt,SE-44-D,TAAF,Single engine,Chicago,IL,,
"Craig, Charles E.",Craig, Charles E.,1-Feb-44,Flight Officer,SE-44-K,TAAF,Single engine,Detroit,MI,,
"Craig, Lewis W.",Craig, Lewis W.,15-Apr-44,2nd Lt,SE-44-D,TAAF,Single engine,Ashville,NC,,
"Craig, Milford S.",Craig, Milford S.,12-Oct-48,2nd Lt,,"Williams AFB, AZ",Single engine,,,,
"Craigwell, Ernest",Craigwell, Ernest,12-Oct-48,2nd Lt,,"Williams AFB, AZ",Single engine,,,,https://cafriseabove.org/ernest-craigwell-jr/
"Criss, Leroy",Criss, Leroy,15-Apr-45,Flight Officer,TE-45-B,TAAF,Twin engine,Los Angeles,CA,,
